Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brew_ID,City,State
Belgian Wit,1958,0.045,NA,11,Witbier,16,11,Grand Rapids,MI
Pothole Stout,1949,0.063,NA,11,American Stout,16,11,Grand Rapids,MI
Tree Bucket,1947,0.093,NA,11,Belgian IPA,16,11,Grand Rapids,MI
Le Flaneur Ale,1785,0.073,NA,11,American Wild Ale,16,11,Grand Rapids,MI
Maize & Blueberry,1651,0.056,NA,11,Fruit / Vegetable Beer,16,11,Grand Rapids,MI
Trebuchet Double IPA,1443,0.093,NA,11,American Double / Imperial IPA,16,11,Grand Rapids,MI
Contemplation,1352,0.065,NA,11,Bière de Garde,16,11,Grand Rapids,MI
Black Rabbit,1267,0.05,NA,11,American Black Ale,16,11,Grand Rapids,MI
Zaison,1266,0.09,NA,11,Saison / Farmhouse Ale,16,11,Grand Rapids,MI
Vivant Tripel,1178,0.082,NA,11,Tripel,16,11,Grand Rapids,MI
Tart Side of the Moon,1136,0.098,NA,11,Belgian Dark Ale,16,11,Grand Rapids,MI
Big Red Coq,1044,0.06,NA,11,American Amber / Red Ale,16,11,Grand Rapids,MI
Hubris Quadrupel Anniversary Ale,1033,0.099,NA,11,Quadrupel (Quad),16,11,Grand Rapids,MI
Plow Horse Belgian Style Imperial Stout,1031,0.095,NA,11,American Double / Imperial Stout,16,11,Grand Rapids,MI
Escoffier Bretta Ale,909,0.092,NA,11,American Wild Ale,16,11,Grand Rapids,MI
Contemplation (2012),873,0.065,NA,11,Bière de Garde,16,11,Grand Rapids,MI
Vivant Belgian Style Imperial Stout (2012),860,0.099,NA,11,Russian Imperial Stout,16,11,Grand Rapids,MI
Big Red Coq (2012),677,0.062,NA,11,American Amber / Red Ale,16,11,Grand Rapids,MI
Zaison (2012),671,0.09,NA,11,Saison / Farmhouse Ale,16,11,Grand Rapids,MI
Vivant Tripel (2012),670,0.092,NA,11,Tripel,16,11,Grand Rapids,MI
Trebuchet Double IPA (2012),669,0.097,NA,11,Belgian IPA,16,11,Grand Rapids,MI
